gacha_id,gacha_name,description,description_2,description_sp,gacha_detail,gacha_cost_type,price,free_gacha_type,free_gacha_interval_time,free_gacha_count,discount_price,gacha_odds,gacha_odds_star2,gacha_type,movie_id,start_time,end_time,ticket_id,special_id,exchange_id,ticket_id_10,rarity_odds,chara_odds_star1,chara_odds_star2,chara_odds_star3,prizegacha_id,gacha_bonus_id
10001,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10001,"",0,0,"2020/03/13 15:00:00","2021/01/29 22:59:59",0,0,0,0,0,0,0,0,0,0
10002,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10002,"",0,0,"2021/01/29 23:00:00","2021/02/08 22:59:59",0,0,0,0,0,0,0,0,0,0
10003,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10003,"",0,0,"2021/02/08 23:00:00","2021/02/17 22:59:59",0,0,0,0,0,0,0,0,0,0
10004,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10004,"",0,0,"2021/02/17 23:00:00","2021/03/04 22:59:59",0,0,0,0,0,0,0,0,0,0
10005,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10005,"",0,0,"2021/03/04 23:00:00","2021/03/22 22:59:59",0,0,0,0,0,0,0,0,0,0
10006,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10006,"",0,0,"2021/03/22 23:00:00","2021/04/11 22:59:59",0,0,0,0,0,0,0,0,0,0
10007,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10007,"",0,0,"2021/04/11 23:00:00","2021/04/28 22:59:59",0,0,0,0,0,0,0,0,0,0
10008,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10008,"",0,0,"2021/04/28 23:00:00","2021/05/18 22:59:59",0,0,0,0,0,0,0,0,0,0
10009,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10009,"",0,0,"2021/05/18 23:00:00","2021/06/03 22:59:59",0,0,0,0,0,0,0,0,0,0
10010,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10010,"",0,0,"2021/06/03 23:00:00","2021/06/22 22:59:59",0,0,0,0,0,0,0,0,0,0
10011,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10011,"",0,0,"2021/06/22 23:00:00","2021/07/09 22:59:59",0,0,0,0,0,0,0,0,0,0
10012,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10012,"",0,0,"2021/07/09 23:00:00","2021/08/01 22:59:59",0,0,0,0,0,0,0,0,0,0
10013,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10013,"",0,0,"2021/08/01 23:00:00","2021/08/18 22:59:59",0,0,0,0,0,0,0,0,0,0
10014,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10014,"",0,0,"2021/08/18 23:00:00","2021/09/07 22:59:59",0,0,0,0,0,0,0,0,0,0
10015,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10015,"",0,0,"2021/09/07 23:00:00","2021/09/24 22:59:59",0,0,0,0,0,0,0,0,0,0
10016,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10016,"",0,0,"2021/09/24 23:00:00","2021/10/12 22:59:59",0,0,0,0,0,0,0,0,0,0
10017,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10017,"",0,0,"2021/10/12 23:00:00","2021/10/25 22:59:59",0,0,0,0,0,0,0,0,0,0
10018,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10018,"",0,0,"2021/10/25 23:00:00","2021/10/28 22:59:59",0,0,0,0,0,0,0,0,0,0
10019,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10019,"",0,0,"2021/10/28 23:00:00","2021/11/11 22:59:59",0,0,0,0,0,0,0,0,0,0
10020,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10020,"",0,0,"2021/11/11 23:00:00","2021/11/22 22:59:59",0,0,0,0,0,0,0,0,0,0
10021,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10021,"",0,0,"2021/11/22 23:00:00","2021/12/07 22:59:59",0,0,0,0,0,0,0,0,0,0
10022,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10022,"",0,0,"2021/12/07 23:00:00","2021/12/20 22:59:59",0,0,0,0,0,0,0,0,0,0
10023,"Normal Gacha","Get items and Memory Shards!","","",1,3,0,1,0,10,0,10023,"",0,0,"2021/12/20 23:00:00","2021/12/23 22:59:59",0,0,0,0,0,0,0,0,0,0
